Region,Year,Inbound Mobility Rate (%)
East Asia and Pacific,1997,1.295799971
East Asia and Pacific,1998,1.250749946
East Asia and Pacific,1999,1.218909979
East Asia and Pacific,2000,1.175150037
East Asia and Pacific,2001,1.13835001
East Asia and Pacific,2002,1.324689984
East Asia and Pacific,2003,1.307039976
East Asia and Pacific,2004,1.238150001
East Asia and Pacific,2005,1.207080007
East Asia and Pacific,2006,1.172889948
East Asia and Pacific,2007,1.201740026
East Asia and Pacific,2008,1.244930029
East Asia and Pacific,2009,1.327499986
East Asia and Pacific,2010,1.374600053
East Asia and Pacific,2011,1.383159995
East Asia and Pacific,2012,1.312469959
East Asia and Pacific,2013,1.286579967
Europe and Central Asia,1998,3.568419933
Europe and Central Asia,1999,3.509619951
Europe and Central Asia,2000,3.431969881
Europe and Central Asia,2001,3.420609951
Europe and Central Asia,2002,3.435570002
Europe and Central Asia,2003,3.667789936
Europe and Central Asia,2004,3.707540035
Europe and Central Asia,2005,3.755439997
Europe and Central Asia,2006,3.745630026
Europe and Central Asia,2007,3.814749956
Europe and Central Asia,2008,4.015120029
Europe and Central Asia,2009,4.099110126
Europe and Central Asia,2010,4.311840057
Europe and Central Asia,2011,4.622159958
Europe and Central Asia,2012,4.776259899
Europe and Central Asia,2013,4.75138998
Latin America and the Caribbean,1998,0.470490009
Latin America and the Caribbean,1999,0.436659992
Latin America and the Caribbean,2000,0.43107
Latin America and the Caribbean,2001,0.434650004
Latin America and the Caribbean,2002,0.421350002
Latin America and the Caribbean,2003,0.446390003
Latin America and the Caribbean,2004,0.397810012
Latin America and the Caribbean,2005,0.390700012
Latin America and the Caribbean,2006,0.399399996
Latin America and the Caribbean,2007,0.476520002
Latin America and the Caribbean,2008,0.493229985
Latin America and the Caribbean,2009,0.48032999
Latin America and the Caribbean,2010,0.464130014
Latin America and the Caribbean,2011,0.406210005
Latin America and the Caribbean,2012,0.383859992
Latin America and the Caribbean,2013,0.379370004
Middle East and North Africa,2002,2.139179945
Middle East and North Africa,2003,2.082429886
Middle East and North Africa,2004,1.93185997
Middle East and North Africa,2005,1.82562995
Middle East and North Africa,2006,1.822919965
Middle East and North Africa,2007,1.810389996
Middle East and North Africa,2008,1.80795002
Middle East and North Africa,2009,1.917279959
Middle East and North Africa,2010,1.960749984
Middle East and North Africa,2011,2.024869919
Middle East and North Africa,2012,1.995949984
Middle East and North Africa,2013,2.159260035
Sub-Saharan Africa,1998,2.237030029
Sub-Saharan Africa,1999,2.901439905
Sub-Saharan Africa,2007,1.917099953
Sub-Saharan Africa,2008,1.892560005
Sub-Saharan Africa,2009,1.810150027
Sub-Saharan Africa,2010,1.827219963
Sub-Saharan Africa,2011,1.874130011
Sub-Saharan Africa,2012,1.560780048
Sub-Saharan Africa,2013,1.546769977
