Country,Code,Year,Inbound Mobility Rate (%)
Austria,AUT,1999,11.79115009
Austria,AUT,2000,11.63041019
Austria,AUT,2001,11.97041988
Austria,AUT,2002,12.71683025
Austria,AUT,2003,13.53382015
Austria,AUT,2004,14.13160992
Austria,AUT,2006,15.53652
Austria,AUT,2007,16.69585037
Austria,AUT,2008,18.74928093
Austria,AUT,2009,19.37529945
Austria,AUT,2010,19.59495926
Austria,AUT,2011,19.50209999
Austria,AUT,2012,15.42000008
Austria,AUT,2013,16.75872993
Austria,AUT,2014,15.47035027
Belgium,BEL,1999,10.27210045
Belgium,BEL,2000,10.90631962
Belgium,BEL,2001,10.6189003
Belgium,BEL,2002,10.99617958
Belgium,BEL,2003,11.17555046
Belgium,BEL,2004,6.786149979
Belgium,BEL,2005,5.404739857
Belgium,BEL,2006,6.301290035
Belgium,BEL,2007,6.401529789
Belgium,BEL,2008,7.430309772
Belgium,BEL,2009,7.984360218
Belgium,BEL,2010,8.112569809
Belgium,BEL,2011,8.188679695
Belgium,BEL,2012,8.983240128
Belgium,BEL,2013,9.979359627
Denmark,DNK,1999,6.487870216
Denmark,DNK,2000,6.8042202
Denmark,DNK,2001,6.534150124
Denmark,DNK,2002,7.38007021
Denmark,DNK,2003,8.981590271
Denmark,DNK,2004,4.551189899
Denmark,DNK,2005,4.413680077
Denmark,DNK,2006,5.322140217
Denmark,DNK,2007,5.467410088
Denmark,DNK,2008,2.769309998
Denmark,DNK,2009,5.363770008
Denmark,DNK,2010,7.537749767
Denmark,DNK,2011,7.821360111
Denmark,DNK,2012,8.131010056
Denmark,DNK,2013,10.12547016
Finland,FIN,1998,1.732069969
Finland,FIN,1999,1.843739986
Finland,FIN,2000,2.061549902
Finland,FIN,2001,2.248699903
Finland,FIN,2002,2.381920099
Finland,FIN,2003,2.523789883
Finland,FIN,2004,2.639319897
Finland,FIN,2005,2.758860111
Finland,FIN,2006,3.726619959
Finland,FIN,2007,3.255889893
Finland,FIN,2008,3.650269985
Finland,FIN,2009,4.245490074
Finland,FIN,2010,4.643980026
Finland,FIN,2011,5.094120026
Finland,FIN,2012,5.708849907
Finland,FIN,2013,7.073900223
France,FRA,1999,6.507919788
France,FRA,2000,6.802060127
France,FRA,2001,7.254950047
France,FRA,2002,8.152899742
France,FRA,2003,10.45547009
France,FRA,2004,10.99787045
France,FRA,2005,10.81282997
France,FRA,2006,11.24431992
France,FRA,2007,11.31505013
France,FRA,2008,11.2465601
France,FRA,2009,11.46615982
France,FRA,2010,11.57789993
France,FRA,2011,11.87069035
France,FRA,2012,11.81894016
France,FRA,2013,10.2365303
Germany,DEU,2013,7.072589874
Italy,ITA,1999,1.307340026
Italy,ITA,2000,1.408419967
Italy,ITA,2001,1.61274004
Italy,ITA,2002,1.534190059
Italy,ITA,2003,1.888669968
Italy,ITA,2004,2.045860052
Italy,ITA,2005,2.229330063
Italy,ITA,2006,2.419389963
Italy,ITA,2007,2.816179991
Italy,ITA,2008,3.391799927
Italy,ITA,2009,3.274470091
Italy,ITA,2010,3.529839993
Italy,ITA,2011,3.739840031
Italy,ITA,2012,4.036079884
Italy,ITA,2013,4.402750015
Netherlands,NLD,1999,2.898370028
Netherlands,NLD,2000,2.873379946
Netherlands,NLD,2001,3.291189909
Netherlands,NLD,2002,3.652309895
Netherlands,NLD,2003,3.897550106
Netherlands,NLD,2004,4.813059807
Netherlands,NLD,2005,4.670410156
Netherlands,NLD,2006,4.664589882
Netherlands,NLD,2007,4.651420116
Netherlands,NLD,2008,4.989659786
Netherlands,NLD,2009,3.827640057
Netherlands,NLD,2010,4.296790123
Netherlands,NLD,2011,4.918759823
Netherlands,NLD,2012,7.245510101
Norway,NOR,1998,4.544710159
Norway,NOR,1999,4.802589893
Norway,NOR,2000,4.555809975
Norway,NOR,2001,4.648149967
Norway,NOR,2002,4.823309898
Norway,NOR,2003,5.207280159
Norway,NOR,2004,5.794849873
Norway,NOR,2005,6.263440132
Norway,NOR,2006,6.658720016
Norway,NOR,2007,7.256189823
Norway,NOR,2008,7.572219849
Norway,NOR,2009,7.983779907
Norway,NOR,2010,7.003369808
Norway,NOR,2011,7.237649918
Norway,NOR,2012,7.746490002
Norway,NOR,2013,3.615279913
Portugal,PRT,2000,2.990540028
Portugal,PRT,2002,3.956619978
Portugal,PRT,2003,3.862730026
Portugal,PRT,2004,4.089220047
Portugal,PRT,2005,4.465310097
Portugal,PRT,2006,4.649179935
Portugal,PRT,2007,4.894619942
Portugal,PRT,2008,2.149539948
Portugal,PRT,2009,2.44904995
Portugal,PRT,2010,2.876230001
Portugal,PRT,2011,3.37045002
Portugal,PRT,2012,4.746679783
Portugal,PRT,2013,3.91940999
Spain,ESP,1999,1.844329953
Spain,ESP,2000,2.224669933
Spain,ESP,2001,2.178529978
Spain,ESP,2002,2.447669983
Spain,ESP,2003,2.914200068
Spain,ESP,2004,0.817979991
Spain,ESP,2005,0.97687
Spain,ESP,2006,1.017519951
Spain,ESP,2007,1.816089988
Spain,ESP,2008,2.118230104
Spain,ESP,2009,2.694139957
Spain,ESP,2010,2.981309891
Spain,ESP,2011,3.21130991
Spain,ESP,2012,2.836410046
Spain,ESP,2013,2.861819983
Sweden,SWE,1999,7.284470081
Sweden,SWE,2000,7.365129948
Sweden,SWE,2001,7.347080231
Sweden,SWE,2002,7.486989975
Sweden,SWE,2003,7.830329895
Sweden,SWE,2004,4.015850067
Sweden,SWE,2005,4.678909779
Sweden,SWE,2006,5.043610096
Sweden,SWE,2007,5.35036993
Sweden,SWE,2008,5.567500114
Sweden,SWE,2009,6.398789883
Sweden,SWE,2010,6.930170059
Sweden,SWE,2011,7.879099846
Sweden,SWE,2012,6.315289974
Sweden,SWE,2013,5.8261199
Switzerland,CHE,1999,16.15065002
Switzerland,CHE,2000,16.57518959
Switzerland,CHE,2001,16.99485016
Switzerland,CHE,2002,17.22727013
Switzerland,CHE,2003,17.66300011
Switzerland,CHE,2004,18.2217598
Switzerland,CHE,2005,18.42399979
Switzerland,CHE,2006,17.89277077
Switzerland,CHE,2007,17.97974968
Switzerland,CHE,2008,14.12489033
Switzerland,CHE,2009,14.92453957
Switzerland,CHE,2010,15.36163044
Switzerland,CHE,2011,16.22183037
Switzerland,CHE,2012,16.49571991
Switzerland,CHE,2013,16.85936928
United Kingdom,GBR,1998,10.8105402
United Kingdom,GBR,1999,11.17465019
United Kingdom,GBR,2000,11.01387024
United Kingdom,GBR,2001,10.91843033
United Kingdom,GBR,2002,10.1430397
United Kingdom,GBR,2003,11.15610027
United Kingdom,GBR,2004,13.35101032
United Kingdom,GBR,2005,13.91882992
United Kingdom,GBR,2006,14.12938023
United Kingdom,GBR,2007,14.87504959
United Kingdom,GBR,2008,14.6723299
United Kingdom,GBR,2009,15.27676964
United Kingdom,GBR,2010,15.7292099
United Kingdom,GBR,2011,16.8498497
United Kingdom,GBR,2012,17.13636971
United Kingdom,GBR,2013,17.46262932
