Region,Year,Inbound Mobility Rate (%)
North America,1997,3.010489941
North America,1998,3.170249939
North America,1999,3.231760025
North America,2000,3.549459934
North America,2001,3.493989944
North America,2002,3.683680058
North America,2003,3.610640049
North America,2004,3.506479979
North America,2005,3.550659895
North America,2006,3.475749969
North America,2007,3.610100031
North America,2008,3.666349888
North America,2009,3.697230101
North America,2010,3.630559921
North America,2011,3.709990025
North America,2012,3.915100098
North America,2013,4.308650017
