Country,Code,Year,Outbound Mobility Ratio (%)
Albania,ALB,1998,12.80152035
Albania,ALB,1999,12.16819954
Albania,ALB,2000,14.52105045
Albania,ALB,2001,18.0767498
Albania,ALB,2002,20.41757011
Albania,ALB,2003,26.31966972
Albania,ALB,2004,25.73855972
Albania,ALB,2005,24.09235954
Albania,ALB,2006,23.3657093
Albania,ALB,2007,22.9437809
Albania,ALB,2008,23.17227936
Albania,ALB,2009,24.40810966
Albania,ALB,2010,19.4668808
Albania,ALB,2011,18.87867928
Albania,ALB,2012,15.21391964
Albania,ALB,2013,13.95567989
Algeria,DZA,1999,3.837340117
Algeria,DZA,2001,2.817549944
Algeria,DZA,2002,2.758160114
Algeria,DZA,2003,3.117389917
Algeria,DZA,2004,3.442810059
Algeria,DZA,2005,3.126970053
Algeria,DZA,2006,3.057909966
Algeria,DZA,2007,2.558559895
Algeria,DZA,2009,1.95923996
Algeria,DZA,2010,1.996909976
Algeria,DZA,2011,2.01602006
Algeria,DZA,2012,2.040930033
Algeria,DZA,2013,1.652230024
Arab World,,1997,4.122849941
Arab World,,1998,3.789259911
Arab World,,1999,3.432699919
Arab World,,2000,3.453030109
Arab World,,2001,3.387710094
Arab World,,2002,3.470720053
Arab World,,2003,3.589570045
Arab World,,2004,3.35510993
Arab World,,2005,3.19501996
Arab World,,2006,3.136430025
Arab World,,2007,3.043179989
Arab World,,2008,3.074779987
Arab World,,2009,3.14963007
Arab World,,2010,3.216350079
Arab World,,2011,3.492460012
Arab World,,2012,3.586930037
Arab World,,2013,3.634860039
Armenia,ARM,1998,2.202330112
Armenia,ARM,1999,2.046060085
Armenia,ARM,2000,2.141410112
Armenia,ARM,2001,2.674949884
Armenia,ARM,2002,2.336420059
Armenia,ARM,2003,3.004070044
Armenia,ARM,2004,2.648279905
Armenia,ARM,2005,2.968169928
Armenia,ARM,2006,2.941590071
Armenia,ARM,2007,2.883399963
Armenia,ARM,2008,3.746629953
Armenia,ARM,2009,3.704590082
Armenia,ARM,2010,4.288790226
Armenia,ARM,2011,4.882450104
Armenia,ARM,2012,5.54102993
Armenia,ARM,2013,5.635660172
Australia,AUS,1998,0.581130028
Australia,AUS,1999,0.621659994
Australia,AUS,2000,0.647769988
Australia,AUS,2001,0.618319988
Australia,AUS,2002,0.577329993
Australia,AUS,2003,0.63391
Australia,AUS,2004,0.893869996
