Country,Code,Year,Outbound Mobility Ratio (%)
Austria,AUT,1998,4.676000118
Austria,AUT,1999,4.643070221
Austria,AUT,2000,4.540860176
Austria,AUT,2001,4.521999836
Austria,AUT,2002,5.629849911
Austria,AUT,2003,5.656060219
Austria,AUT,2004,5.100619793
Austria,AUT,2005,4.736320019
Austria,AUT,2006,3.926090002
Austria,AUT,2007,4.015120029
Austria,AUT,2008,3.592969894
Austria,AUT,2009,3.758300066
Austria,AUT,2010,3.659509897
Austria,AUT,2011,3.835259914
Austria,AUT,2012,4.042890072
Austria,AUT,2013,3.697390079
Belgium,BEL,1999,2.752510071
Belgium,BEL,2000,2.840970039
Belgium,BEL,2001,2.938489914
Belgium,BEL,2002,2.96536994
Belgium,BEL,2003,3.173290014
Belgium,BEL,2004,2.612179995
Belgium,BEL,2005,2.557660103
Belgium,BEL,2006,2.64722991
Belgium,BEL,2007,2.688549995
Belgium,BEL,2008,2.448489904
Belgium,BEL,2009,2.449160099
Belgium,BEL,2010,2.523269892
Belgium,BEL,2011,2.648430109
Belgium,BEL,2012,2.775079966
Belgium,BEL,2013,3.344180107
Denmark,DNK,1998,3.362179995
Denmark,DNK,1999,3.380880117
Denmark,DNK,2000,3.480340004
Denmark,DNK,2001,3.294939995
Denmark,DNK,2002,3.389889956
Denmark,DNK,2003,3.349299908
Denmark,DNK,2004,2.512419939
Denmark,DNK,2005,2.331860065
Denmark,DNK,2006,2.262769938
Denmark,DNK,2007,2.188110113
Denmark,DNK,2008,2.152509928
Denmark,DNK,2009,2.209110022
Denmark,DNK,2010,2.215049982
Denmark,DNK,2011,2.341939926
Denmark,DNK,2012,2.121390104
Denmark,DNK,2013,1.804450035
Finland,FIN,1998,3.788889885
Finland,FIN,1999,3.774960041
Finland,FIN,2000,3.788340092
Finland,FIN,2001,3.579370022
Finland,FIN,2002,3.628289938
Finland,FIN,2003,3.586539984
Finland,FIN,2004,2.02222991
Finland,FIN,2005,1.913709998
Finland,FIN,2006,1.969249964
Finland,FIN,2007,1.955639958
Finland,FIN,2008,2.094820023
Finland,FIN,2009,2.383209944
Finland,FIN,2010,2.431070089
Finland,FIN,2011,2.486500025
Finland,FIN,2012,2.635760069
Finland,FIN,2013,2.673540115
France,FRA,1998,2.305789948
France,FRA,1999,2.401160002
France,FRA,2000,2.504040003
France,FRA,2001,2.589799881
France,FRA,2002,2.752049923
France,FRA,2003,2.706549883
France,FRA,2004,2.155849934
France,FRA,2005,2.247159958
France,FRA,2006,2.423749924
France,FRA,2007,2.505680084
France,FRA,2008,2.128700018
France,FRA,2009,2.436719894
France,FRA,2010,2.546610117
France,FRA,2011,2.661489964
France,FRA,2012,2.774580002
France,FRA,2013,3.59510994
Germany,DEU,2013,4.284959793
Italy,ITA,1998,2.075920105
Italy,ITA,1999,2.206549883
Italy,ITA,2000,2.345180035
Italy,ITA,2001,2.332439899
Italy,ITA,2002,2.273849964
Italy,ITA,2003,2.271950006
Italy,ITA,2004,1.762290001
Italy,ITA,2005,1.706730008
Italy,ITA,2006,1.47566998
Italy,ITA,2007,1.543560028
Italy,ITA,2008,1.577280045
Italy,ITA,2009,1.79531002
Italy,ITA,2010,2.037470102
Italy,ITA,2011,2.2260499
Italy,ITA,2012,2.467060089
Netherlands,NLD,1998,2.739639997
Netherlands,NLD,1999,2.780250072
Netherlands,NLD,2000,2.571099997
Netherlands,NLD,2001,2.391489983
Netherlands,NLD,2002,2.359430075
Netherlands,NLD,2003,2.409739971
Netherlands,NLD,2004,1.592700005
Netherlands,NLD,2005,1.806890011
Netherlands,NLD,2006,1.744140029
Netherlands,NLD,2007,1.788229942
Netherlands,NLD,2008,1.374709964
Netherlands,NLD,2009,1.82269001
