Region,Year,Outbound Mobility Ratio (%)
South America,1998,5.742190004
South America,1999,5.622469961
South America,2000,7.150399953999999
South America,2001,4.724699975
South America,2002,7.588920118
South America,2003,27.71090066
South America,2004,22.801120187
South America,2005,20.596089963999997
South America,2006,19.497779573
South America,2007,26.210479265
South America,2008,26.293550047
South America,2009,27.652180524000002
South America,2010,15.414849875000002
South America,2011,22.894501003
South America,2012,21.974359427
South America,2013,2.408260047
